school,date,dish_name,portions_prepared,portions_wasted
scuola1,2025-01-10,piatto1,100,20
scuola1,2025-02-10,piatto1,180,20
scuola1,2025-03-10,piatto1,100,22
scuola1,2025-04-10,piatto1,150,20
scuola1,2025-05-10,piatto1,100,16
scuola1,2025-06-10,piatto1,200,20
scuola1,2025-07-10,piatto1,100,29
scuola1,2025-08-10,piatto1,134,20
scuola1,2025-09-10,piatto1,100,25
scuola1,2025-10-10,piatto1,100,20
scuola1,2025-11-10,piatto1,250,11
scuola1,2025-12-10,piatto1,100,20
scuola1,2025-10-13,piatto1,120,12
scuola1,2025-10-14,piatto1,100,20
scuola1,2025-10-15,piatto2,100,20
scuola1,2025-10-16,piatto2,111,20
scuola1,2025-10-17,piatto2,100,20
scuola1,2025-10-18,piatto2,100,20
scuola1,2025-10-19,piatto2,250,20
scuola2,2025-01-10,piatto1,120,20
scuola2,2025-02-10,piatto1,150,17
scuola2,2025-03-10,piatto1,170,20
scuola2,2025-04-10,piatto1,190,20
scuola2,2025-05-10,piatto1,220,33
scuola2,2025-06-10,piatto1,242,20
scuola2,2025-07-10,piatto1,266,30
scuola2,2025-08-10,piatto1,190,20
scuola2,2025-09-10,piatto1,214,20
scuola2,2025-10-10,piatto1,238,25
scuola2,2025-11-10,piatto1,162,20
scuola2,2025-12-10,piatto1,186,12
scuola2,2025-10-13,piatto1,210,15
scuola2,2025-10-14,piatto1,234,43
scuola2,2025-10-15,piatto1,158,20
