"data";"ragionesociale";"descrdestinazione";"descrclasse";"insegnante";"descrgruppo";"descrpiatto";"presenze";"qtaavanzata";"percavanzata";"tipo"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"rossi";"Contorni";"finocchi filange";"30";"28";"93,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"rossi";"Form. grat.";"F- parmigiano reggiano grattugiato";"30";"28";"93,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"rossi";"Forneria";"F- pane fette";"30";"0";"0,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"rossi";"Frutta";"Frutta";"30";"0";"0,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"rossi";"Primi";"Pasta e fagioli (avemarie rigate)";"30";"28";"93,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"rossi";"Secondi";"mozzarella";"30";"28";"93,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"cecilia";"Contorni";"finocchi filange";"26";"8";"30,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"cecilia";"Form. grat.";"F- parmigiano reggiano grattugiato";"26";"0";"0,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"cecilia";"Forneria";"F- pane fette";"26";"0";"0,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"cecilia";"Frutta";"Frutta";"26";"0";"0,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"cecilia";"Primi";"Pasta e fagioli (avemarie rigate)";"26";"2";"7,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"cecilia";"Secondi";"mozzarella";"26";"0";"0,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1C";"rainone";"Contorni";"finocchi filange";"22";"15";"68,00";"1"
"06/11/2018 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1C";"rainone";"Form. grat.";"F- parmigiano reggiano grattugiato";"22";"0";"0,00";"1"
