"data";"ragionesociale";"descrdestinazione";"descrclasse";"insegnante";"descrgruppo";"descrpiatto";"presenze";"qtaavanzata";"percavanzata";"tipo"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Contorni";"carote al prezzemolo";"19";"16";"84,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Form. grat.";"F- parmigiano reggiano grattugiato";"19";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Primi";"Fusilli integrali al pomodoro";"19";"1";"5,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Salsa";"maionese";"19";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Secondi";"merluzzo olio e limone";"19";"8";"42,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"giardino";"Contorni";"carote al prezzemolo";"22";"18";"81,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"giardino";"Form. grat.";"F- parmigiano reggiano grattugiato";"22";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"giardino";"Primi";"Fusilli integrali al pomodoro";"22";"8";"36,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"giardino";"Salsa";"maionese";"22";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"giardino";"Secondi";"merluzzo olio e limone";"22";"9";"40,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"oddo";"Contorni";"carote al prezzemolo";"24";"19";"79,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"oddo";"Form. grat.";"F- parmigiano reggiano grattugiato";"24";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"oddo";"Primi";"Fusilli integrali al pomodoro";"24";"4";"16,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"oddo";"Salsa";"maionese";"24";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"oddo";"Secondi";"merluzzo olio e limone";"24";"12";"50,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"4A";"di marco";"Contorni";"carote al prezzemolo";"28";"27";"96,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"4A";"di marco";"Form. grat.";"F- parmigiano reggiano grattugiato";"28";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"4A";"di marco";"Primi";"Fusilli integrali al pomodoro";"28";"6";"21,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"4A";"di marco";"Salsa";"maionese";"28";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"4A";"di marco";"Secondi";"merluzzo olio e limone";"28";"17";"60,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5A";"callea";"Contorni";"carote al prezzemolo";"22";"21";"95,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5A";"callea";"Form. grat.";"F- parmigiano reggiano grattugiato";"22";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5A";"callea";"Primi";"Fusilli integrali al pomodoro";"22";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5A";"callea";"Salsa";"maionese";"22";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5A";"callea";"Secondi";"merluzzo olio e limone";"22";"7";"31,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5B";"russo";"Contorni";"carote al prezzemolo";"24";"23";"95,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5B";"russo";"Form. grat.";"F- parmigiano reggiano grattugiato";"24";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5B";"russo";"Primi";"Fusilli integrali al pomodoro";"24";"1";"4,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5B";"russo";"Salsa";"maionese";"24";"0";"0,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5B";"russo";"Secondi";"merluzzo olio e limone";"24";"15";"62,00";"1"
"03/12/2018 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5C";"falsetti";"Contorni";"carote al prezzemolo";"27";"25";"92,00";"1"
