"data";"ragionesociale";"descrdestinazione";"descrclasse";"insegnante";"descrgruppo";"descrpiatto";"presenze";"qtaavanzata";"percavanzata";"tipo"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"messina";"Contorni";"Cavolfiore all'olio";"22";"19";"86,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"messina";"Form. grat.";"F- parmigiano reggiano grattugiato";"22";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"messina";"Forneria";"F- pane fette";"22";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"messina";"Frutta";"Frutta";"22";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"messina";"Primi";"Passato di verdure con quinoa";"22";"5";"22,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1A";"messina";"Secondi";"bocconcini di pollo alla salvia";"22";"6";"27,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"macchiariulo";"Contorni";"Cavolfiore all'olio";"26";"10";"38,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"macchiariulo";"Form. grat.";"F- parmigiano reggiano grattugiato";"26";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"macchiariulo";"Forneria";"F- pane fette";"26";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"macchiariulo";"Frutta";"Frutta";"26";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"macchiariulo";"Primi";"Passato di verdure con quinoa";"26";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1B";"macchiariulo";"Secondi";"bocconcini di pollo alla salvia";"26";"3";"11,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1C";"rainone";"Contorni";"Cavolfiore all'olio";"17";"16";"94,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1C";"rainone";"Form. grat.";"F- parmigiano reggiano grattugiato";"17";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1C";"rainone";"Forneria";"F- pane fette";"17";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1C";"rainone";"Frutta";"Frutta";"17";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1C";"rainone";"Primi";"Passato di verdure con quinoa";"17";"5";"29,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"1C";"rainone";"Secondi";"bocconcini di pollo alla salvia";"17";"5";"29,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2A";"romanelli";"Contorni";"Cavolfiore all'olio";"17";"13";"76,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2A";"romanelli";"Form. grat.";"F- parmigiano reggiano grattugiato";"17";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2A";"romanelli";"Forneria";"F- pane fette";"17";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2A";"romanelli";"Frutta";"Frutta";"17";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2A";"romanelli";"Primi";"Passato di verdure con quinoa";"17";"7";"41,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2A";"romanelli";"Secondi";"bocconcini di pollo alla salvia";"17";"4";"23,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2B";"grassia";"Contorni";"Cavolfiore all'olio";"22";"19";"86,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2B";"grassia";"Form. grat.";"F- parmigiano reggiano grattugiato";"22";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2B";"grassia";"Forneria";"F- pane fette";"22";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2B";"grassia";"Frutta";"Frutta";"22";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2B";"grassia";"Primi";"Passato di verdure con quinoa";"22";"10";"45,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2B";"grassia";"Secondi";"bocconcini di pollo alla salvia";"22";"5";"22,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2C";"verso";"Contorni";"Cavolfiore all'olio";"21";"19";"90,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2C";"verso";"Form. grat.";"F- parmigiano reggiano grattugiato";"21";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2C";"verso";"Forneria";"F- pane fette";"21";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2C";"verso";"Frutta";"Frutta";"21";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2C";"verso";"Primi";"Passato di verdure con quinoa";"21";"9";"42,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"2C";"verso";"Secondi";"bocconcini di pollo alla salvia";"21";"8";"38,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"3A";"ciucchi";"Contorni";"Cavolfiore all'olio";"24";"15";"62,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"3A";"ciucchi";"Form. grat.";"F- parmigiano reggiano grattugiato";"24";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"3A";"ciucchi";"Forneria";"F- pane fette";"24";"0";"0,00";"1"
"07/01/2019 00:00:00";"Comune di Campi Bisenzio";"EL. FRA RISTORO 1";"3A";"ciucchi";"Frutta";"Frutta";"24";"0";"0,00";"1"
