data;ragionesociale;descrdestinazione;descrclasse;insegnante;descrgruppo;descrpiatto;presenze;qtaavanzata;percavanzata;tipo
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;cei;Contorni;insalata mista;23;20;86;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;cei;Form. grat.;F- parmigiano reggiano grattugiato;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;cei;Forneria;F- pane fette;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;cei;Frutta;Frutta;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;cei;Primi;casarecce al pesto di cavolo nero;23;5;21;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;cei;Secondi;frittata;23;10;43;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Contorni;insalata mista;23;20;86;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Form. grat.;F- parmigiano reggiano grattugiato;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Forneria;F- pane fette;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Frutta;Frutta;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Primi;casarecce al pesto di cavolo nero;23;8;34;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Secondi;frittata;23;10;43;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Contorni;insalata mista;22;12;54;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Form. grat.;F- parmigiano reggiano grattugiato;22;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Forneria;F- pane fette;22;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Frutta;Frutta;22;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Primi;casarecce al pesto di cavolo nero;22;10;45;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Secondi;frittata;22;12;54;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;fabiani;Contorni;insalata mista;17;13;76;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;fabiani;Form. grat.;F- parmigiano reggiano grattugiato;17;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;fabiani;Forneria;F- pane fette;17;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;fabiani;Frutta;Frutta;17;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;fabiani;Primi;casarecce al pesto di cavolo nero;17;4;23;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;fabiani;Secondi;frittata;17;8;47;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;verso;Contorni;insalata mista;25;15;60;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;verso;Form. grat.;F- parmigiano reggiano grattugiato;25;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;verso;Forneria;F- pane fette;25;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;verso;Frutta;Frutta;25;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;verso;Primi;casarecce al pesto di cavolo nero;25;10;40;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;verso;Secondi;frittata;25;10;40;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;viviani;Contorni;insalata mista;23;18;78;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;viviani;Form. grat.;F- parmigiano reggiano grattugiato;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;viviani;Forneria;F- pane fette;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;viviani;Frutta;Frutta;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;viviani;Primi;casarecce al pesto di cavolo nero;23;5;21;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;viviani;Secondi;frittata;23;10;43;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Contorni;insalata mista;24;22;91;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Form. grat.;F- parmigiano reggiano grattugiato;24;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Forneria;F- pane fette;24;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Frutta;Frutta;24;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Primi;casarecce al pesto di cavolo nero;24;7;29;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Secondi;frittata;24;10;41;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Contorni;insalata mista;25;20;80;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Form. grat.;F- parmigiano reggiano grattugiato;25;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Forneria;F- pane fette;25;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Frutta;Frutta;25;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Primi;casarecce al pesto di cavolo nero;25;10;40;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Secondi;frittata;25;10;40;1
