data;ragionesociale;descrdestinazione;descrclasse;insegnante;descrgruppo;descrpiatto;presenze;qtaavanzata;percavanzata;tipo
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1A; pugi;Contorni;insalata mista;23;16;69;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1A; pugi;Form. grat.;F- parmigiano reggiano grattugiato;23;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1A; pugi;Frutta;Frutta;23;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1A; pugi;Primi;casarecce al pesto di cavolo nero;23;3;13;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1A; pugi;Secondi;frittata;23;2;8;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1B;giardino;Contorni;insalata mista;22;13;59;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1B;giardino;Form. grat.;F- parmigiano reggiano grattugiato;22;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1B;giardino;Frutta;Frutta;22;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1B;giardino;Primi;casarecce al pesto di cavolo nero;22;3;13;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1B;giardino;Secondi;frittata;22;5;22;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1C;oddo;Contorni;insalata mista;24;22;91;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1C;oddo;Form. grat.;F- parmigiano reggiano grattugiato;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1C;oddo;Frutta;Frutta;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1C;oddo;Primi;casarecce al pesto di cavolo nero;24;2;8;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1C;oddo;Secondi;frittata;24;7;29;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;4A;di marco;Contorni;insalata mista;25;16;64;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;4A;di marco;Form. grat.;F- parmigiano reggiano grattugiato;25;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;4A;di marco;Frutta;Frutta;25;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;4A;di marco;Primi;casarecce al pesto di cavolo nero;25;2;8;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;4A;di marco;Secondi;frittata;25;5;20;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5A;calle;Contorni;insalata mista;24;9;37;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5A;calle;Form. grat.;F- parmigiano reggiano grattugiato;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5A;calle;Frutta;Frutta;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5A;calle;Primi;casarecce al pesto di cavolo nero;24;2;8;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5A;calle;Secondi;frittata;24;2;8;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5B;russo;Contorni;insalata mista;26;13;50;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5B;russo;Form. grat.;F- parmigiano reggiano grattugiato;26;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5B;russo;Frutta;Frutta;26;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5B;russo;Primi;casarecce al pesto di cavolo nero;26;3;11;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5B;russo;Secondi;frittata;26;8;30;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5C;falsetti;Contorni;insalata mista;28;19;67;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5C;falsetti;Form. grat.;F- parmigiano reggiano grattugiato;28;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5C;falsetti;Frutta;Frutta;28;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5C;falsetti;Primi;casarecce al pesto di cavolo nero;28;4;14;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5C;falsetti;Secondi;frittata;28;6;21;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2A;ciotta;Contorni;insalata mista;20;11;55;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2A;ciotta;Form. grat.;F- parmigiano reggiano grattugiato;20;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2A;ciotta;Frutta;Frutta;20;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2A;ciotta;Primi;casarecce al pesto di cavolo nero;20;3;15;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2A;ciotta;Secondi;frittata;20;2;10;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2B;rinldi;Contorni;insalata mista;21;16;76;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2B;rinldi;Form. grat.;F- parmigiano reggiano grattugiato;21;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2B;rinldi;Frutta;Frutta;21;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2B;rinldi;Primi;casarecce al pesto di cavolo nero;21;7;33;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2B;rinldi;Secondi;frittata;21;8;38;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2C;papini;Contorni;insalata mista;21;18;85;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2C;papini;Form. grat.;F- parmigiano reggiano grattugiato;21;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2C;papini;Frutta;Frutta;21;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2C;papini;Primi;casarecce al pesto di cavolo nero;21;5;23;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;2C;papini;Secondi;frittata;21;10;47;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3A;fierli;Contorni;insalata mista;24;14;58;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3A;fierli;Form. grat.;F- parmigiano reggiano grattugiato;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3A;fierli;Frutta;Frutta;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3A;fierli;Primi;casarecce al pesto di cavolo nero;24;2;8;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3A;fierli;Secondi;frittata;24;4;16;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3B;veneziano;Contorni;insalata mista;24;18;75;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3B;veneziano;Form. grat.;F- parmigiano reggiano grattugiato;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3B;veneziano;Frutta;Frutta;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3B;veneziano;Primi;casarecce al pesto di cavolo nero;24;4;16;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3B;veneziano;Secondi;frittata;24;5;20;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3C;moretti;Contorni;insalata mista;25;16;64;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3C;moretti;Form. grat.;F- parmigiano reggiano grattugiato;25;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3C;moretti;Frutta;Frutta;25;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3C;moretti;Primi;casarecce al pesto di cavolo nero;25;7;28;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;3C;moretti;Secondi;frittata;25;9;36;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;4B;autolitno;Contorni;insalata mista;24;18;75;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;4B;autolitno;Form. grat.;F- parmigiano reggiano grattugiato;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;4B;autolitno;Frutta;Frutta;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;4B;autolitno;Primi;casarecce al pesto di cavolo nero;24;10;41;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;4B;autolitno;Secondi;frittata;24;9;37;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;4C;marciano;Contorni;insalata mista;25;12;48;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;4C;marciano;Form. grat.;F- parmigiano reggiano grattugiato;25;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;4C;marciano;Frutta;Frutta;25;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;4C;marciano;Primi;casarecce al pesto di cavolo nero;25;3;12;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 2;4C;marciano;Secondi;frittata;25;6;24;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;messina;Contorni;insalata mista;24;18;75;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;messina;Form. grat.;F- parmigiano reggiano grattugiato;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;messina;Forneria;F- pane fette;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;messina;Frutta;Frutta;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;messina;Primi;casarecce al pesto di cavolo nero;24;12;50;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1A;messina;Secondi;frittata;24;15;62;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Contorni;insalata mista;23;20;86;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Form. grat.;F- parmigiano reggiano grattugiato;23;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Forneria;F- pane fette;23;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Frutta;Frutta;23;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Primi;casarecce al pesto di cavolo nero;23;12;52;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1B;boncinelli;Secondi;frittata;23;10;43;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Contorni;insalata mista;23;18;78;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Form. grat.;F- parmigiano reggiano grattugiato;23;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Forneria;F- pane fette;23;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Frutta;Frutta;23;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Primi;casarecce al pesto di cavolo nero;23;10;43;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;1C;rainone;Secondi;frittata;23;10;43;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;romanelli;Contorni;insalata mista;21;15;71;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;romanelli;Form. grat.;F- parmigiano reggiano grattugiato;21;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;romanelli;Forneria;F- pane fette;21;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;romanelli;Frutta;Frutta;21;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;romanelli;Primi;casarecce al pesto di cavolo nero;21;10;47;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2A;romanelli;Secondi;frittata;21;12;57;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;grassia;Contorni;insalata mista;19;15;78;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;grassia;Form. grat.;F- parmigiano reggiano grattugiato;19;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;grassia;Forneria;F- pane fette;19;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;grassia;Frutta;Frutta;19;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;grassia;Primi;casarecce al pesto di cavolo nero;19;5;26;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2B;grassia;Secondi;frittata;19;10;52;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;verso;Contorni;insalata mista;24;20;83;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;verso;Form. grat.;F- parmigiano reggiano grattugiato;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;verso;Forneria;F- pane fette;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;verso;Frutta;Frutta;24;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;verso;Primi;casarecce al pesto di cavolo nero;24;10;41;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;2C;verso;Secondi;frittata;24;10;41;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Contorni;insalata mista;25;21;84;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Form. grat.;F- parmigiano reggiano grattugiato;25;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Forneria;F- pane fette;25;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Frutta;Frutta;25;0;0;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Primi;casarecce al pesto di cavolo nero;25;5;20;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Secondi;frittata;25;9;36;1
01/03/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;stancato;Contorni;insalata mista;25;20;80;1
