data;ragionesociale;descrdestinazione;descrclasse;insegnante;descrgruppo;descrpiatto;presenze;qtaavanzata;percavanzata;tipo
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1A;puggi;Contorni;carote al prezzemolo;21;0;0;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1A;puggi;Form. grat.;F- parmigiano reggiano grattugiato;21;16;76;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1A;puggi;Frutta;Frutta;21;0;0;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1A;puggi;Primi;fusilli agli aromi;21;3;14;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1A;puggi;Secondi;pollo alla cacciatora;21;19;90;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1B;pilieno;Contorni;carote al prezzemolo;23;0;0;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1B;pilieno;Form. grat.;F- parmigiano reggiano grattugiato;23;12;52;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1B;pilieno;Frutta;Frutta;23;0;0;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1B;pilieno;Primi;fusilli agli aromi;23;2;8;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1B;pilieno;Secondi;pollo alla cacciatora;23;14;60;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1C;oddo;Contorni;carote al prezzemolo;25;0;0;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1C;oddo;Form. grat.;F- parmigiano reggiano grattugiato;25;6;24;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1C;oddo;Frutta;Frutta;25;0;0;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1C;oddo;Primi;fusilli agli aromi;25;3;12;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;1C;oddo;Secondi;pollo alla cacciatora;25;21;84;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;4A;callea;Contorni;carote al prezzemolo;24;0;0;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;4A;callea;Form. grat.;F- parmigiano reggiano grattugiato;24;4;16;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;4A;callea;Frutta;Frutta;24;0;0;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;4A;callea;Primi;fusilli agli aromi;24;1;4;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;4A;callea;Secondi;pollo alla cacciatora;24;16;66;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5A;russo;Contorni;carote al prezzemolo;25;0;0;1
01/04/2019 00:00;Comune di Campi Bisenzio;EL. DON MILANI 1;5A;russo;Form. grat.;F- parmigiano reggiano grattugiato;25;3;12;1
