"data";"ragionesociale";"descrdestinazione";"descrclasse";"insegnante";"descrgruppo";"descrpiatto";"presenze";"qtaavanzata";"percavanzata";"tipo"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Contorni";"patate all'olio";"22";"6";"27,27";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Form. grat.";"F- parmigiano reggiano grattugiato";"22";"0";"0,00";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Frutta";"Frutta";"22";"0";"0,00";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Primi";"crema di asparagi";"22";"7";"31,82";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Secondi";"bocconcini di tacchino agli aromi";"22";"0";"0,00";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"piljero";"Contorni";"patate all'olio";"25";"9";"36,00";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"piljero";"Form. grat.";"F- parmigiano reggiano grattugiato";"25";"0";"0,00";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"piljero";"Frutta";"Frutta";"25";"0";"0,00";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"piljero";"Primi";"crema di asparagi";"25";"5";"20,00";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"piljero";"Secondi";"bocconcini di tacchino agli aromi";"25";"3";"12,00";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"felace";"Contorni";"patate all'olio";"25";"7";"28,00";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"felace";"Form. grat.";"F- parmigiano reggiano grattugiato";"25";"0";"0,00";"1"
"02/05/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"felace";"Frutta";"Frutta";"25";"0";"0,00";"1"
