"data";"ragionesociale";"descrdestinazione";"descrclasse";"insegnante";"descrgruppo";"descrpiatto";"presenze";"qtaavanzata";"percavanzata";"tipo"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Contorni";"insalata";"24";"13";"54,17";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Forneria";"F- pane fette";"24";"0";"0,00";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Frutta";"Frutta";"24";"0";"0,00";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Primi";"lasagne alla pizzaiola";"24";"4";"16,67";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"pugi";"Secondi";"stracchino";"24";"6";"25,00";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"pilieri";"Contorni";"insalata";"23";"15";"65,22";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"pilieri";"Forneria";"F- pane fette";"23";"0";"0,00";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"pilieri";"Frutta";"Frutta";"23";"0";"0,00";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"pilieri";"Primi";"lasagne alla pizzaiola";"23";"6";"26,09";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"pilieri";"Secondi";"stracchino";"23";"8";"34,78";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"oddo";"Contorni";"insalata";"25";"21";"84,00";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"oddo";"Forneria";"F- pane fette";"25";"0";"0,00";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"oddo";"Frutta";"Frutta";"25";"0";"0,00";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"oddo";"Primi";"lasagne alla pizzaiola";"25";"2";"8,00";"1"
"03/06/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"oddo";"Secondi";"stracchino";"25";"7";"28,00";"1"
