data;ragionesociale;descrdestinazione;descrclasse;insegnante;descrgruppo;descrpiatto;presenze;qtaavanzata;percavanzata;tipo
17/09/2019 00:00;Comune di Campi Bisenzio;MAT. DIEGO CIANTI 1;SEZ A;prova;Form. grat.;F- parmigiano reggiano grattugiato;20;30;150;1
17/09/2019 00:00;Comune di Campi Bisenzio;MAT. DIEGO CIANTI 1;SEZ A;prova;Primi;Riso al burro;20;30;150;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ A;l..d;Contorni;ceci all'olio;12;6;50;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ A;l..d;Form. grat.;F- parmigiano reggiano grattugiato;12;0;0;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ A;l..d;Forneria;F- pane fette;12;0;0;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ A;l..d;Frutta;Frutta;12;0;0;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ A;l..d;Primi;Farfalle all'olio aromatico;12;0;0;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ A;l..d;Secondi;seppie in umido;12;10;83,33;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ B;p....g;Contorni;ceci all'olio;8;6;75;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ B;p....g;Form. grat.;F- parmigiano reggiano grattugiato;8;0;0;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ B;p....g;Forneria;F- pane fette;8;0;0;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ B;p....g;Frutta;Frutta;8;0;0;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ B;p....g;Primi;Farfalle all'olio aromatico;8;0;0;1
19/09/2019 00:00;Comune di Campi Bisenzio;MAT. LORENZINI Campi;SEZ B;p....g;Secondi;seppie in umido;8;7;87,5;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1A;Dina;Contorni;carote all'olio;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1A;Dina;Form. grat.;F- parmigiano reggiano grattugiato;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1A;Dina;Forneria;F- pane fette;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1A;Dina;Frutta;Frutta;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1A;Dina;Primi;Caserecce al pomodoro e basilico;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1A;Dina;Secondi;bocconcini di tacchino agli aromi;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1B;Dina;Contorni;carote all'olio;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1B;Dina;Form. grat.;F- parmigiano reggiano grattugiato;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1B;Dina;Forneria;F- pane fette;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1B;Dina;Frutta;Frutta;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1B;Dina;Primi;Caserecce al pomodoro e basilico;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;1B;Dina;Secondi;bocconcini di tacchino agli aromi;1;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;2A;Chiti;Contorni;carote all'olio;26;6;23,08;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;2A;Chiti;Form. grat.;F- parmigiano reggiano grattugiato;26;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;2A;Chiti;Primi;Caserecce al pomodoro e basilico;26;2;7,69;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;2A;Chiti;Secondi;bocconcini di tacchino agli aromi;26;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;2B;Banco;Contorni;carote all'olio;26;5;19,23;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;2B;Banco;Form. grat.;F- parmigiano reggiano grattugiato;26;0;0;1
20/09/2019 00:00;Comune di Campi Bisenzio;EL. VAMBA 1;2B;Banco;Primi;Caserecce al pomodoro e basilico;26;7;26,92;1
