"data";"ragionesociale";"descrdestinazione";"descrclasse";"insegnante";"descrgruppo";"descrpiatto";"presenze";"qtaavanzata";"percavanzata";"tipo"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"Catanzaro";"Contorni";"Cavolfiore all'olio";"21";"8";"38,10";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"Catanzaro";"Primi";"Passato di verdure con orzo";"21";"2";"9,52";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1A";"Catanzaro";"Secondi";"bocconcini di tacchino al limone";"21";"3";"14,29";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"Lazzara";"Contorni";"Cavolfiore all'olio";"24";"9";"37,50";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"Lazzara";"Primi";"Passato di verdure con orzo";"24";"2";"8,33";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1B";"Lazzara";"Secondi";"bocconcini di tacchino al limone";"24";"2";"8,33";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"Bilotti";"Contorni";"Cavolfiore all'olio";"20";"7";"35,00";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"Bilotti";"Primi";"Passato di verdure con orzo";"20";"0";"0,00";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"1C";"Bilotti";"Secondi";"bocconcini di tacchino al limone";"20";"0";"0,00";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"4A";"Callea";"Contorni";"Cavolfiore all'olio";"23";"18";"78,26";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"4A";"Callea";"Primi";"Passato di verdure con orzo";"23";"0";"0,00";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"4A";"Callea";"Secondi";"bocconcini di tacchino al limone";"23";"19";"82,61";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5A";"Gensini";"Contorni";"Cavolfiore all'olio";"28";"9";"32,14";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5A";"Gensini";"Primi";"Passato di verdure con orzo";"28";"0";"0,00";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5A";"Gensini";"Secondi";"bocconcini di tacchino al limone";"28";"2";"7,14";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5B";"Autolitano";"Contorni";"Cavolfiore all'olio";"27";"16";"59,26";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5B";"Autolitano";"Primi";"Passato di verdure con orzo";"27";"0";"0,00";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5B";"Autolitano";"Secondi";"bocconcini di tacchino al limone";"27";"3";"11,11";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5C";"Campisi";"Contorni";"Cavolfiore all'olio";"27";"18";"66,67";"1"
"14/10/2019 00:00:00";"Comune di Campi Bisenzio";"EL. DON MILANI 1";"5C";"Campisi";"Primi";"Passato di verdure con orzo";"27";"2";"7,41";"1"
