data;ragionesociale;descrdestinazione;descrclasse;insegnante;descrgruppo;descrpiatto;presenze;qtaavanzata;percavanzata;tipo
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;1A;elisa;Contorni;patate all'olio;14;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;1A;elisa;Form. grat.;F- parmigiano reggiano grattugiato;14;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;1A;elisa;Frutta;Frutta;14;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;1A;elisa;Primi;Passato di verdure con orzo;14;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;1A;elisa;Secondi;coscia di pollo arrosto;14;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;2A;raffaella;Contorni;patate all'olio;23;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;2A;raffaella;Form. grat.;F- parmigiano reggiano grattugiato;23;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;2A;raffaella;Forneria;F- pane fette;23;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;2A;raffaella;Frutta;Frutta;23;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;2A;raffaella;Primi;Passato di verdure con orzo;23;2;8,7;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;2A;raffaella;Secondi;coscia di pollo arrosto;23;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;3A;maria;Contorni;patate all'olio;17;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;3A;maria;Form. grat.;F- parmigiano reggiano grattugiato;17;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;3A;maria;Forneria;F- pane fette;17;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;3A;maria;Frutta;Frutta;17;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;3A;maria;Primi;Passato di verdure con orzo;17;3;17,65;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;3A;maria;Secondi;coscia di pollo arrosto;17;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;4A;chiara;Contorni;patate all'olio;26;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;4A;chiara;Form. grat.;F- parmigiano reggiano grattugiato;26;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;4A;chiara;Forneria;F- pane fette;26;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;4A;chiara;Frutta;Frutta;26;0;0;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;4A;chiara;Primi;Passato di verdure con orzo;26;2;7,69;1
19/10/2020 00:00;Comune di Campi Bisenzio;EL. MARCO POLO 1;4A;chiara;Secondi;coscia di pollo arrosto;26;0;0;1
