"data";"ragionesociale";"descrdestinazione";"descrclasse";"insegnante";"descrgruppo";"descrpiatto";"presenze";"qtaavanzata";"percavanzata";"tipo"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"1B";"A";"Contorni";"spinaci saltati";"16";"5";"31,25";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"1B";"A";"Primi";"Passato di verdure  e legumi con cereali";"16";"2";"12,50";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"1B";"A";"Secondi";"spezzatino di manzo";"16";"4";"25,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"1C";"A";"Contorni";"spinaci saltati";"20";"11";"55,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"1C";"A";"Primi";"Passato di verdure  e legumi con cereali";"20";"5";"25,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"1C";"A";"Secondi";"spezzatino di manzo";"20";"6";"30,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"2B";"Franca";"Contorni";"spinaci saltati";"20";"13";"65,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"2B";"Franca";"Primi";"Passato di verdure  e legumi con cereali";"20";"7";"35,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"2B";"Franca";"Secondi";"spezzatino di manzo";"20";"5";"25,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"2C";"Martina";"Contorni";"spinaci saltati";"19";"11";"57,89";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"2C";"Martina";"Primi";"Passato di verdure  e legumi con cereali";"19";"4";"21,05";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"2C";"Martina";"Secondi";"spezzatino di manzo";"19";"6";"31,58";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"3B";"Angela";"Contorni";"spinaci saltati";"19";"12";"63,16";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"3B";"Angela";"Primi";"Passato di verdure  e legumi con cereali";"19";"11";"57,89";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"3B";"Angela";"Secondi";"spezzatino di manzo";"19";"4";"21,05";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"3C";"A";"Contorni";"spinaci saltati";"20";"12";"60,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"3C";"A";"Primi";"Passato di verdure  e legumi con cereali";"20";"5";"25,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"3C";"A";"Secondi";"spezzatino di manzo";"20";"2";"10,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"4B";"Mariateresa";"Contorni";"spinaci saltati";"22";"4";"18,18";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"4B";"Mariateresa";"Primi";"Passato di verdure  e legumi con cereali";"22";"3";"13,64";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"4B";"Mariateresa";"Secondi";"spezzatino di manzo";"22";"0";"0,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"5B";"Chiara";"Contorni";"spinaci saltati";"19";"13";"68,42";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"5B";"Chiara";"Primi";"Passato di verdure  e legumi con cereali";"19";"14";"73,68";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"5B";"Chiara";"Secondi";"spezzatino di manzo";"19";"6";"31,58";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"5C";"Sara";"Contorni";"spinaci saltati";"21";"11";"52,38";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"5C";"Sara";"Primi";"Passato di verdure  e legumi con cereali";"21";"6";"28,57";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. L. IL MAGNIFICO 1";"5C";"Sara";"Secondi";"spezzatino di manzo";"21";"3";"14,29";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. MARCO POLO 1";"1A";"cecilia";"Contorni";"spinaci saltati";"15";"2";"13,33";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. MARCO POLO 1";"1A";"cecilia";"Form. grat.";"F- parmigiano reggiano grattugiato";"15";"0";"0,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. MARCO POLO 1";"1A";"cecilia";"Forneria";"F- pane fette";"15";"0";"0,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. MARCO POLO 1";"1A";"cecilia";"Frutta";"Frutta";"15";"0";"0,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. MARCO POLO 1";"1A";"cecilia";"Primi";"Passato di verdure  e legumi con cereali";"15";"2";"13,33";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. MARCO POLO 1";"1A";"cecilia";"Secondi";"spezzatino di manzo";"15";"1";"6,67";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. MARCO POLO 1";"2A";"raffa";"Contorni";"spinaci saltati";"23";"3";"13,04";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. MARCO POLO 1";"2A";"raffa";"Form. grat.";"F- parmigiano reggiano grattugiato";"23";"0";"0,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. MARCO POLO 1";"2A";"raffa";"Forneria";"F- pane fette";"23";"0";"0,00";"1"
"07/01/2021 00:00:00";"Comune di Campi Bisenzio";"EL. MARCO POLO 1";"2A";"raffa";"Frutta";"Frutta";"23";"0";"0,00";"1"
