data;ragionesociale;descrdestinazione;descrclasse;insegnante;descrgruppo;descrpiatto;presenze;qtaavanzata;percavanzata;tipo
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1A;Guasti;Contorni;Fagiolini all'olio P;12;10;83,33;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1A;Guasti;Form. grat.;F- parmigiano reggiano grattugiato;12;0;0;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1A;Guasti;Forneria;F- pane fette;12;0;0;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1A;Guasti;Frutta;Frutta;12;0;0;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1A;Guasti;Primi;Fusilli al pomodoro antico;12;5;41,67;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1A;Guasti;Secondi;Bocconcini di Parmigiano Reggiano P;12;4;33,33;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1C;Calicchio;Contorni;Fagiolini all'olio P;20;10;50;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1C;Calicchio;Form. grat.;F- parmigiano reggiano grattugiato;20;0;0;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1C;Calicchio;Forneria;F- pane fette;20;0;0;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1C;Calicchio;Frutta;Frutta;20;0;0;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1C;Calicchio;Primi;Fusilli al pomodoro antico;20;1;5;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;1C;Calicchio;Secondi;Bocconcini di Parmigiano Reggiano P;20;2;10;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;2A;Xx;Contorni;Fagiolini all'olio P;17;12;70,59;1
10/01/2022 00:00;Calenzano Comune S.r.L.;ELEM. ANNA FRANK;2A;Xx;Form. grat.;F- parmigiano reggiano grattugiato;17;0;0;1
