"data";"ragionesociale";"descrdestinazione";"descrclasse";"insegnante";"descrgruppo";"descrpiatto";"presenze";"qtaavanzata";"percavanzata";"tipo"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"1A";"Claudia";"Contorni";"Zucchine o fagiolini all'olio";"23";"10";"43,48";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"1A";"Claudia";"Primi";"Riso alla verza";"23";"2";"8,70";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"1A";"Claudia";"Secondi";"mozzarella E";"23";"4";"17,39";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"2A";"Paola";"Contorni";"Zucchine o fagiolini all'olio";"23";"9";"39,13";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"2A";"Paola";"Primi";"Riso alla verza";"23";"2";"8,70";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"2A";"Paola";"Secondi";"mozzarella E";"23";"5";"21,74";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"3A";"Amalia";"Contorni";"Zucchine o fagiolini all'olio";"19";"3";"15,79";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"3A";"Amalia";"Primi";"Riso alla verza";"19";"0";"0,00";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"3A";"Amalia";"Secondi";"mozzarella E";"19";"8";"42,11";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"4A";"Valerio";"Contorni";"Zucchine o fagiolini all'olio";"20";"11";"55,00";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"4A";"Valerio";"Primi";"Riso alla verza";"20";"4";"20,00";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"4A";"Valerio";"Secondi";"mozzarella E";"20";"2";"10,00";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"5A";"Caterina";"Contorni";"Zucchine o fagiolini all'olio";"22";"12";"54,55";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"5A";"Caterina";"Primi";"Riso alla verza";"22";"3";"13,64";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. CONCETTO MARCHESI";"5A";"Caterina";"Secondi";"mozzarella E";"22";"2";"9,09";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"1A";"Goggiou";"Contorni";"Zucchine o fagiolini all'olio";"22";"15";"68,18";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"1A";"Goggiou";"Primi";"Riso alla verza";"22";"3";"13,64";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"1A";"Goggiou";"Secondi";"mozzarella E";"22";"6";"27,27";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"2A";"catana";"Contorni";"Zucchine o fagiolini all'olio";"23";"22";"95,65";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"2A";"catana";"Primi";"Riso alla verza";"23";"3";"13,04";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"2A";"catana";"Secondi";"mozzarella E";"23";"4";"17,39";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"2C";"Nicol?";"Contorni";"Zucchine o fagiolini all'olio";"24";"21";"87,50";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"2C";"Nicol?";"Primi";"Riso alla verza";"24";"7";"29,17";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"2C";"Nicol?";"Secondi";"mozzarella E";"24";"9";"37,50";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"3A";"Bellatti Capasso";"Contorni";"Zucchine o fagiolini all'olio";"23";"15";"65,22";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"3A";"Bellatti Capasso";"Primi";"Riso alla verza";"23";"10";"43,48";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"3A";"Bellatti Capasso";"Secondi";"mozzarella E";"23";"5";"21,74";"1"
"10/10/2022 00:00:00";"Calenzano Comune S.r.L.";"ELEM. DON MILANI GIU";"5A";"Nucipora";"Contorni";"Zucchine o fagiolini all'olio";"21";"7";"33,33";"1"
